Stimmbezirk;WahlgebÃ¤ude;Straße;Nr;NrZusatz;Eingang;PLZ;Ort;Stadtteil;Rollstuhlgerecht
20601, 20602, 20603, 20604, 20606, 20607, 20608, 20609, 20610;Anne-Frank-Schule;Adlerstr.;13;;;50997;Köln;02233-99 44 55-0;Rondorf;j
20701, 20702;Pflanzen Mohr;Bonner Landstr. ;100;;;50996;Köln;02236 / 66166;Hahnwald;j
20803;Caritas-Altenzentrum St. Maternus;Brückenstr.;21;;;50996;Köln;35 95 -121;Rodenkirchen;j
20804, 20805;Bezirksrathaus Rodenkirchen;Hauptstr.;85;;;50996;Köln;221-92 322;Rodenkirchen;j
20806, 20807;GHS Ringelnatzstr.;Ringelnatzstr.;12;;;50996;Köln;3558334-0;Rodenkirchen;j
20801, 20802, 20808, 20809, 20810;Gymnasium Rodenkirchen;Sürther Str.;55;;;50996;Köln;935551-0;Rodenkirchen;j
20811, 20812, 20813;Ernst-Moritz-Arndt-Schule ;Mainstr.;75;;Eingang Saarstraße (barrierefrei);50996;Köln;9922597-0;Rodenkirchen;j
20814;Berufsförderungswerk Köln;Martinsweg;11;;Tagungsraum 2;50999;Köln;9956-2224;Rodenkirchen;j
20901, 20902, 20903, 20904, 20905, 20906, 21001, 21002;"GGS Zum
Hedelsberg";Zum Hedelsberg;13;;;50999;Köln;02236-884883-0;Weiß;j
21003, 21004, 21005, 21006;Brüder-Grimm-Schule;Sürther Hauptstr.;149;;;50999;Köln;02236-33 66 3-0;Sürth;j
21007, 21008, 21009;Ev. Kirchengem. Sürth/Weiß;Auferstehungskirchweg;7;;;50999;Köln;02236-389748 Di-Fr. 9-12 Uhr;Sürth;j
21101, 21102;"
Johannes-Gutenberg-Realschule";Kuckucksweg;4;;Eingang Buchfinkenstr.;50997;Köln;02236-84 87 9-0;Godorf;j
21201, 21202;"GGS Ketteler Schule 
(Freiherr-von-Stein-Schule)";Godorfer Str.;29;;;50997;Köln;02236-885599-11;Immendorf;j
21301, 21302, 21303, 21304;GGS Ketteler-Schule;Kettelerstr.;14;;;50997;Köln;02232-50318;Meschenich;j
30101, 30102, 30103, 30104, 30105;KGS Lohrbergstr.;Lohrbergstr.;46;;;50939;Köln;35 58 89 1-0 od. -14;Klettenberg;j
30106, 30107, 30108, 30109, 30110;GGS Stenzelbergstr.;Stenzelbergstr.;3;;;50939;Köln;35 50 135-0;Klettenberg;j
30201, 30202, 30203, 30204;Hildegard-von-Bingen-Schule;Leybergstr.;1;;;50939;Köln;47441750;Sülz;j
30207, 30208, 30209, 30210, 30222;KGS Berrenrather Str.;Berrenrather Str.;179;;;50937;Köln;99 22 59 4-0;Sülz;n
30211, 30212, 30213, 30214, 30219, 30220, 30221;GGS Manderscheider Platz;Berrenrather Str.;352;;;50937;Köln;99 22 59 30;Sülz;n
30215, 30216;Elsa-Brändström-Realschule;Berrenrather Str.;488;;;50937;Köln;28 55 06-0;Sülz;j
30205, 30206, 30223, 30224;Schiller-Gymnasium;Nikolausstr.;55;;Aula;50937;Köln;28580721;Sülz;j
30225, 30226, 30302, 30303;Förderschule Redwitzstr.;Redwitzstr.;80;;;50937;Köln;44 93 91;Sülz;j
30217, 30218, 30227, 30228, 30229, 30230;Theodor-Heuss-Realschule;Euskirchener Str.;50;;;50935;Köln;46 96 09-15;Sülz;n
30231, 30232, 30233, 30234, 30301, 30312, 30313;GGS Mommsenstr.;Mommsenstr.;5;;;50935;Köln;33 75 080;Sülz;j
30304, 30305;Universität zu Köln;Albertus-Magnus-Platz;;;;50931;Köln;470-22 00 o. -4157;Lindenthal;j
30306, 30307, 30308, 30309;GGS Bachemer Str.;Bachemer Str.;69;;;50931;Köln;22 25 19 1-0;Lindenthal;j
30310, 30311;KGS Lindenburger Allee;Lindenburger Allee;38;;;50931;Köln;35 58 99 70;Lindenthal;j
30314, 30315, 30316, 30317, 30318, 30319, 30320;GGS Freiligrathstr.;Freiligrathstr.;60;;;50935;Köln;33 73 00 80;Lindenthal;j
30321, 30322, 30323, 30324;Apostelgymnasium;Biggestr.;2;;;50931;Köln;40 63 18-21;Lindenthal;j
30325, 30326;Liebfrauenschule;Brucknerstr.;15;;;50931;Köln;405074;Lindenthal;j
30401, 30402, 30403, 30404;GGS Geilenkircher Str.;Geilenkircher Str.;52;;;50933;Köln;1680066-0 od. 13;Braunsfeld;j
30405;Clarenbach-Stift;Peter-von-Fliesteden-Str.;1;;;50933;Köln;94 98 28-0 oder -102 oder - 101;Braunsfeld;j
30406, 30407, 30408, 30409;Bürgeramt Lindenthal;Aachener Str.;220;;;50931;Köln;221-93313;Braunsfeld;j
30501;Clarenbachwerk Haus Andreas;Neuer Grüner Weg;21;;;50933;Köln;4985-297 od. -455;Müngersdorf;j
30502, 30503, 30504, 30505;GGS Wendelinstr.;Wendelinstr.;64;;;50933;Köln;4911578;Müngersdorf;j
30506, 30507;Kindertagesstätte Ecole Maternelle;Im Rapsfeld;32;;;50933;Köln;"4992041
0173-5382900";Müngersdorf;j
30601, 30602, 30603, 30604, 30605, 30606, 30607, 30608, 30609, 30610;GS Ildefons-Herwegen ;Kirchweg;138;;;50858;Köln;22282030, 222820311;Junkersdorf;j
30701, 30702, 30703, 30704, 30705;Albert-Schweitzer-Grundschule;Breslauer Str.;11;;;50858;Köln;02234-946480;Weiden;j
30706, 30707, 30708, 30709;Clarenhofschule;Schulstr.;2;;;50859;Köln;02234-9998890;;j
30710, 30711, 30712, 30713;Schulzentrum Weiden;Ostlandstr.;39;;;50858;Köln;02234-409619 o. 409610;Weiden;j
30801, 30802, 30803;Städt. KiTa Siegstraße;Siegstr.;12;;;50859;Köln;02234-43 71 85;Lövenich;n
30804, 30805, 30806;Pfarrheim St. Severin;Kirchgasse;1;;;50859;Köln;02234/ 7 54 78,  st.severin@pv-Iww.de;Lövenich;j
30807, 30808, 30809;GS Johanniter-Schule;Kölner Str.;37;;;50859;Köln;02234-91 17 11-0 od. -31;Lövenich;j
30901, 30902, 30903, 30904, 30905, 30906;GS Olympia Schule;Neue Sandkaul;23;;;50859;Köln;0221/ 9874709-0;Widdersdorf;j
40101, 40312;Rheinische Stiftung;Vogelsanger Str.;295;;;50825;Köln;0221-355045-18;Ehrenfeld;j
40102, 40103, 40104, 40105;GS Lindenbornschule;Lindenbornstr.;15;;;50823;Köln;5601-320 o. -330;Ehrenfeld;j
40106, 40107;Pfarrheim St. Joseph;Geisselstr.;1;;;50823;Köln;95 17 90;Ehrenfeld;j
40108, 40109, 40110, 40111;Berufskolleg Ehrenfeld;Weinsbergstr.;72;;;50823;Köln;9514930;Ehrenfeld;j
40112, 40113, 40114, 40115, 40116;KGS Everhardstraße;Everhardstr.;60;;;50823;Köln;952977-0;Ehrenfeld;j
40117, 40118;Geschwister-Scholl-Schule;Gravenreuthstr.;5-7;;Mensa;50823;Köln;9556040;Ehrenfeld;n
40119, 40120, 40123;Wilhelm-Leyendecker-Förderschule;Leyendeckerstr.;20;;;50825;Köln;95 56 960;Ehrenfeld;n
40121, 40124;Astrid-Lindgren-Schule;Borsigstr.;13;;;50825;Köln;2508164 - 30;Ehrenfeld;n
40122;Michael-Ende-Schule;Platenstr.;7;;;50825;Köln;399 80 3-0;Ehrenfeld;n
40201, 40202, 40203;Seniorenzentrum Theo-Burauen-Haus;Peter-Bauer-Str.;2;;;50823;Köln;5733-202 ;Neuehrenfeld;j
40204, 40205, 40206, 40207, 40208, 40209;Albertus-Magnus-Gymnasium;Ottostr.;87;;;50823;Köln;55920-0;Neuehrenfeld;j
40210, 40211;GGS Nußbaumerstr.;Nußbaumerstr.;254;;;50825;Köln;955652-0;Neuehrenfeld;j
40212, 40213, 40214, 40215, 40216, 40217;Eichendorff-Realschule;Dechenstr.;1;;;50825;Köln;955607-0;Neuehrenfeld;j
40218, 40219, 40220;Hauptschule Baadenbergerstr.;Baadenberger Str.;111;;;50825;Köln;26 10 80;Neuehrenfeld;j
40301, 40302;KiTa und Familienzentrum;Ossendorfer Weg;17;;;50827;Köln;5952476,  ossendorfer@koelnkitas.de;Bickendorf;j
40303, 40304, 40305;GGS Erlenweg;"Erlenweg
";16;;Eingang Am langen Stein;50827;Köln;35533950;Bickendorf;j
40306, 40307;KGS Erlenweg;"Erlenweg
";16;;Eingang Am langen Stein;50827;Köln;22252770;Bickendorf;j
40308, 40309, 40310, 40311;Schule Lindweiler Hof;Rochusstr.;80;;;50827;Köln;47441760;Bickendorf;j
40401, 40402, 40403, 40404;Kardinal-Frings-Schule;Vogelsanger Str.;453;;;50829;Köln;35501260;Vogelsang;j
40405, 40406;Förderschule Kohlkrabenweg;Kolkrabenweg;8-10;;;50829;Köln;28557910;Vogelsang;j
40501, 40502, 40503;KGS Mengenicher Straße;Mengenicher Str.;28;;;50829;Köln;221 - 39343;Bocklem./Meng.;n
40504, 40505, 40506, 40507;Bürgerschaftshaus Bocklemünd/Mengenich e.V.;Görlinger-Zentrum ;11-15;;;50829;Köln;501017 vera.asselhoven@buergerschaftshaus.de;Bocklem./Meng.;j
40601;Montessorischule;Am Pistorhof;11;;;50827;Köln;2979083-105;Ossendorf;j
40602, 40603, 40604, 40605;KOGS Wilhelm-Schreiber-Straße;Wilhelm-Schreiber-Str.;56;;;50827;Köln;22252550;Ossendorf;j
50101, 50102, 50103, 50104, 50105;Förderschule Auguststraße;Auguststr.;1;;;50733;Köln;973187-0-33;Nippes;n
50106, 50107, 50108, 50109, 50110, 50111;GGS Steinbergerstr.;Steinbergerstr.;40;;;50733;Köln;33 75 164-0;Nippes;n
50115, 50116, 50117, 50118;Leornado-da-Vinci-Gymnasium;Blücherstr.;15;;;50733;Köln;716 614-0;Nippes;n
50119, 50120, 50121, 50122, 50123, 50124;"Mathilde-von -Mevissen 
Grundschule";Gellertstr.;4;;;50733;Köln;35509990;Nippes;j
50125, 50126;Nordpark-Schule;Kretzerstr.;5;;;50733;Köln;93 89 111-13;Nippes;n
50201, 50202, 50203, 50204;"GGS
Nibelungenstr.";Nibelungenstr.;50;a;"Eingang
Einfahrt 
Bergstr.";50739;Köln;27 84 610  o. 27846115;Mauenheim;j
50301, 50302, 50303, 50304, 50305, 50308, 50311;GGS Garthestr.;Garthestr.;20;;;50735;Köln;976536-0-21-22;Riehl;n
50306, 50307;Förderschule Sprachen;Brehmstr.;2;;Eingang Esenbeckstraße;50735;Köln;5708099-0;Riehl;j
50309, 50310;"SBK Köln
gemeinn. GmbH";Boltensternstr.;16;;;50735;Köln;"77755-526
christoph.schmitt@sbk-koeln.de";Riehl;j
50403;GGS Halfengasse;Halfengasse;25;;;50735;Köln;7121613;Niehl;j
50401, 50402, 50404;"Altenzentrum und Wohnheim 
St. Christoferus";Feldgärtenstr.;109 b;;;50735;Köln;0221-2714101;Niehl;j
50405;Kinder- und Jugendhaus;Boltensternstr.;126;;;50735;Köln;0221 - 97 63 622;Niehl;n
50406, 50407, 50408;Erich Kästner-Gymnasium;Castroper Str.;7;;;50735;Köln;221-39310;Niehl;j
50409, 50410, 50411, 50412, 50413, 50414;"GGS
Nesselrodestr.";Nesselrodestr.;15;;;50735;Köln;2225223-0;Niehl;j
50112, 50113, 50114, 50501;Peter Ustinov Realschule;Neusser Str.;421;;;50733;Köln;976575-0-16;Weidenpesch;j
50502, 50503, 50504, 50505, 50506, 50507, 50508, 50509;GGS Florianschule;Neusser Str.;605;;;50737;Köln;719 10 99-14;Weidenpesch;n
50601, 50602, 50603, 50604, 50605, 50606;KGS Marienschule;Altonaer Str.;32;;;50737;Köln;96 59 777;Longerich;j
50607, 50608, 50609, 50610;Gesamtschule Nippes;Paul-Humburg-Str.;13;;;50737;Köln;221-30860;Longerich;j
50611, 50612, 50613, 50614;KGS Longericher Hauptstraße;Longericher Hauptstr.;83;;;50739;Köln;9910020-0;Longerich;j
50701, 50702, 50703, 50704;GGS Alzeyer Str.;Alzeyer Str.;12;;;50739;Köln;28 50 068-0 o. -690;Bilderstöckchen;j
50705, 50706, 50707, 50708;"Josef-DuMont-
Berufskolleg";Escher Str.;217;;;50739;Köln;1790311;Bilderstöckchen;j
50709;KGS Osterather Straße;Osterather Str.;13;;;50739;Köln;172900;Bilderstöckchen;j
60101, 60102;GGS Amandusstr.;Amandusstr.;22;;;50769;Köln;29798488;Merkenich;n
60103, 60104, 60105;GGS Spoerkelhof;Spoerkelhof;7;;;50769;Köln;35650650;Merkenich;n
60201, 60202;"Kath. Kindertagesstätte
St. Marien";Roggendorfer Weg;16;b;;50769;Köln;7088881;Fühlingen;j
60301, 60302;"Sankt-Martin-
Schule";Balsaminenweg;52;;;50769;Köln;71663410;Seeberg;j
60303, 60304, 60305;GGS Riphahnstr.;Riphahnstr.;40;a;;50769;Köln;33730040;Seeberg;j
60306;"Henry-Ford-
Realschule";Karl-Marx-Allee;43;;;50769;Köln;9703400;Seeberg;j
60401, 60402;Ursula-Kuhr-Schule;Volkhovener Weg;140;;;50767;Köln;5704320;Heimersdorf;j
60403, 60404, 60405;GGS Lebensbaumweg;Lebensbaumweg;51;;;50767;Köln;97942410;Heimersdorf;j
60501;Soziales Zentrum Lino-Club e.V.;Unnauer Weg;96;a;Eingang  über Krombachweg;50767;Köln;998998-0;Lindweiler;j
60502;"GGS
Soldiner Str.";Soldiner Str.;68;;;50767;Köln;35 68 990;Lindweiler;j
60601, 60602, 60603;Erich-Ohser-Schule;Schulstr.;16;;;50767;Köln;33730030;Pesch;j
60604, 60605, 60606, 60607, 60608;"Schulzentrum
Pesch";Schulstr.;18;;;50767;Köln;990910;Pesch;j
60701, 60702;Landwirtschaftskammer NRW;Gartenstr.;11;;;50765;Köln;5340-100 o. -241 o. -214;Esch/Auweiler;j
60703, 60704, 60705, 60706, 60707;Konrad-Adenauer-Schule;Martinusstr.;28;;;50765;Köln;71661070;Esch/Auweiler;j
60801, 60802, 60803;Heinrich-Mann-Gymnasium;Fühlinger Weg;4;;;50765;Köln;97 94 640;Volkh./Weiler;j
60901, 60902;Bürgerzentrum Chorweiler;Pariser Platz ;1;;;50765;Köln;96379;Chorweiler;j
60903;Marie-Juchacz-Zentrum;Rhonestr.;5;;;50765;Köln;7023-1;Chorweiler;j
60904, 60905;GGS Merianstr.;Merianstr.;7;;;50765;Köln;33 73 00 610;Chorweiler;j
61001, 61002, 61003, 61004;GGS Ernstbergstr.;Ernstbergstr.;2;;;50765;Köln;2228800;Blumenberg;j
61101, 61102;KGS Gutnickstraße;Gutnickstr.;37;;;50769;Köln;28 55 2660;Roggend./Thenh.;j
61201, 61206, 61207;Vereinshaus Worringen;St- Tönnis-Str.;68;;;50769;Köln;0221-7871131;Worringen;j
61202, 61203, 61204, 61205;GGS An den Kaulen;An den Kaulen;62;;;50769;Köln;35 58 21 40;Worringen;j
70101, 70102, 70103, 70104;Januzs-Korczak-Schule;Am Altenberger Kreuz;14;;;51105;Köln;93 83 00 40;Poll;n
70105, 70106, 70107, 70108, 70109, 70110, 70111;GGS Poller Hauptstraße;Poller Hauptstr.;61;;Eingang Schulpfad;51105;Köln;99 21 16 90;Poll;j
70201, 70204;Finkenberg-Schule;Berlinerstr.;36;;;51149;Köln;"02203-
899292-18";Ensen;j
70202, 70203;Bürgerzentrum Engelshof e.V.;Oberstr.;96;;;51149;Köln;"02203/12166
0173-5150365 privat";Westhoven;j
70205, 70301, 70302, 70303, 70304, 70305;GGS Hohe Str.;Hohe Str.;77-79;;;51149;Köln;02203/8930020;Ensen;j
70306;Senioren-Pflegeheim;Kölner Str.;64;;Haus Monika;51149;Köln; 02203/ 3691-12122;Ensen;j
70401, 70402;"GGS
Breitenbachstr.";Breitenbachstr.;2;;;51149;Köln;02203/8959960;Gremberghoven;n
70502;GGS Konrad-Adenauer-Straße;Konrad-Adenauer-Str.;20;;;51149;Köln;02203/8988670;Eil;n
70503, 70504, 70505, 70506;GGS Schulstraße;Schulstr.;23;;;51145;Köln;02203/31418;Eil;n
70507, 70508;Kopernikusschule;Bonner Str.;40;;;51145;Köln;02203/1863-0;Eil;j
70601, 70602, 70603;Max-Planck-Realschule;Planckstr.;14;;;51145;Köln;02203/8920920;Porz;j
70607, 70608;KiTa a. d. Lukaskirche;Mühlenstr.;2;a;;51143;Köln;02203/86 751;Porz;j
70604, 70605, 70606;Berufskolleg Köln-Porz;Hauptstr.;426;;;51143;Köln;02203/955920;Porz;j
70701, 70702, 70703;Stadtgymnasium;Humboldtstr.;2;;;51145;Köln;02203 - 89402-0;Urbach;j
70704, 70705, 70706, 70707, 70708, 70709;KGS Kupfergasse;Kupfergasse;31;;;51145;Köln;02203-92 28 10;Urbach;j
70801;Altenzentrum;Tiergartenstr.;47;;;51145;Köln;02203/9254-0 oder -22;Elsdorf;j
70901, 70902, 70903;Eduard-Mörike-Schule;Mörikeweg;2;;;51147;Köln;02203/99662-0 o. -12 o. -14;Grengel;j
71001, 71002, 71003;Pestalozzi-Schule;Sportplatzstr.;82;;;51147;Köln;02203/8988770;Wahnheide;j
71004, 71005;GGS Neue Heide;Neue Heide;25;;;51147;Köln;02203/2030270;Wahnheide;j
71006, 71007;Städt. KiTa Hunoldstraße;Hunoldstr.;7;;;51147;Köln;02203/61976 (auch Fax);Wahnheide;j
71101, 71102, 71103, 71104, 71105, 71106;GGS Adolph-Kolping-Str.;Adolph-Kolping-Str.;41;;;51147;Köln;02203/89 30 03 0;Wahn;j
71201, 71202;Kindertagesstätte;Viehtrift;5;;;51147;Köln;"02203/89 98 77
wiebke.kiekbusch@stadt-koeln.de";Lind;j
71203, 71204;AK Autoport Köln GmbH;Am Linder Kreuz ;10;;;51147;Köln;02203/96602-21;Lind;j
71301;Pfarrei St. Margaretha;Pastor-Huthmacher-Str.;9;;q;51147;Köln;02203-696242;Libur;j
71401, 71402, 71403, 71404, 71405, 71406, 71407, 71408;GGS Schmittgasse;Schmittgasse;66;;;51143;Köln;02203/2020740;Zündorf;n
71409, 71410, 71411, 71412;GGS Irisweg;Irisweg;2;;;51143;Köln;02203/1017390;Zündorf;j
71501, 71502, 71503, 71504;KGS Hinter der Kirche;Hinter der Kirche;3;;;51143;Köln;02203/8998660;Langel;j
71601, 71602;Bürgerzentrum Finkenberg e.V.;Stresemannstr.;6;a;;51149;Köln;02203-9354418;Eil;j
70501, 71603;Lise-Meitner-Gesamtschule;Stresemannstr.;36;;;51149;Köln;02203/9931220;Finkenberg;j
80101, 80105;Berufskolleg;Usingerstr.;24;;;51105;Köln;831731;Humbold/Gremb.;j
80102;Hauptschule;Hachenburger Str.;11;;;51105;Köln;3 55 89 68-0;Humbold/Gremb.;j
80103, 80104;GGS Westerwaldstr.;Westerwaldstr.;90;;;51105;Köln;22 28 007-0;Humbold/Gremb.;j
80106, 80107;GGS Lohmarer Straße;Lohmarer Str.;11;;;51105;Köln;99 22 48 90 ;Humbold/Gremb.;j
80201, 80202, 80203;Adolph-Kolping-Schule;Falckensteinstr.;34;;Zugang Remscheiderstr. Sporthalle;51103;Köln;9658350;Kalk;j
80204;Gymnasium;Kantstr.;3;;;51103;Köln;9876030;Kalk;j
80205, 80206, 80207;KGS Kapitelstraße;Kapitelstr.;24;;;51103;Köln;99 22 202-0;Kalk;j
80208, 80209;Bürgerhaus Kalk;"Kalk-Mülheimer
Str.";58;;;51103;Köln;987602-35;Kalk;j
80301, 80302, 80303;GGS Heßhofstr.;Heßhofstr.;45;;;51107;Köln;35 66 633-15;Vingst;j
80304;GGS Lustheider Str.;Lustheider Str.;43;;;51103;Köln;35 66 113-0;Vingst;j
80305, 80401, 80402;GHS Nürnberger Straße;Nürnberger Str.;10;;;51103;Köln;8011050;Vingst;j
80403, 80404, 80405;GGS Weimarer Straße;Weimarer Str.;28;;Eingang Apoldaer Weg;51103;Köln;871662;Höhenberg;j
80406;Katharina-Henoth-Gesamtschule;Adalbertstr.;17;;Zufahrt Lustheider Str. 47;51103;Köln;88 80 90;Höhenberg;j
80501, 80502, 80503, 80504, 80505, 80506, 80507;GGS Zenthofstr.;Zehnthofstr.;22;;;51107;Köln;35 58 97 10;Ostheim;j
80601, 80602, 80603, 80604, 80605, 80606, 80607;KGS Fußballstraße;Fußfallstr.;55;;;51109;Köln;99 21 109-0;Merheim;j
80701, 80702, 80703;GGS Diesterwegstr.;Diesterwegstr.;69;;;51109;Köln;35 65 067-0;Brück;j
80704, 80706;Matthias Claudius Heim;Olpener Str.;830;;;51109;Köln;89 09-0;Brück;j
80705, 80707, 80708, 80709, 80710;KGS Olpener Straße;Olpener Str.;930;;;51109;Köln;33773790;Brück;j
80801, 80802, 80803, 80804, 80805, 80808, 80809;GGS Volberger Weg;Volberger Weg;17;;;51107;Köln;35 65 06 20;Rath/Heumar;j
80806, 80807, 80810, 80811, 80812;KGS Erikaweg;Erikaweg;1;;;51107;Köln;33730050;Rath/Heumar;j
80901, 80902, 80903;GGS Europaring;Europaring;51;;;51109;Köln;894110;Neubrück;j
80904, 80905, 80906, 80907;KGS Andreas-Hermes-Straße;Andreas-Hermes-Str.;2;;;51109;Köln;35 65 064-0;Neubrück;j
90101, 90102;"Gesamtschule Mülheim
(Hauptstandort Ferdinandstraße)
";Ferdinandstr.;43;;"Standort
Ferdinantstr.";51063;Köln;981083-0 o. -14;Mülheim;j
90103, 90104, 90105, 90106;Johann-Bendel-Realschule;Danzierstr.;146;a;;51063;Köln;9649040;Mülheim;j
90107, 90108, 90109, 90110, 90111, 90112;Ferdinand-Lassallestraße-realschule;Lassallestr.;59;;;51065;Köln;71 66 126-0;Mülheim;j
